rua,bairro,numero,cep,cidade,estado,pais
R. José Joaquim de Melo,Cuitegi,306,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Prof. Mariana Marques Leite,Alto Boa Vista,276,58200-000,Guarabira,PB,Brasil
Av. Padre Inácio de Almeida,Centro,405,58200-000,Guarabira,PB,Brasil
R. Rosil Guedes,Nordeste,176,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,810,58200-000,Guarabira,PB,Brasil
Av. Padre Inácio de Almeida,Centro,405,58200-000,Guarabira,PB,Brasil
R. Santa Isabel,Nordeste I,362,58200-000,Guarabira,PB,Brasil
Praça Mackrina Maroja 6,Nao possui Bairro, 6,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Carlos Moura,Conj. Osmar de Aquino,75,58200-000,Guarabira,PB,Brasil
PB-073,Nao possui Bairro, 216,58200-000,Guarabira,PB,Brasil
PB-073,Nao possui Bairro, 76,58200-000,Guarabira,PB,Brasil
R. Principal,Cachoeira,540,58205-000,Guarabira,PB,Brasil
R. Edgar do Já,Esplanada,142,58200-000,Guarabira,PB,Brasil
R. Rui Barbosa,Cj Joao Cassimiro,713,58200-000,Guarabira,PB,Brasil
R. Hildebrando Matias,Nordeste,47,58200-000,Guarabira,PB,Brasil
PB-075,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Francisco Pereira,Primavera,51,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 1246,58200-000,Guarabira,PB,Brasil
Rod. Pb Cinquenta e Sete,Cj Clovis Bezerra,311,58200-000,Guarabira,PB,Brasil
Tv. Bela Vista,Piloezinhos,10,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
Av. Sabiniano Maia,Bairro Novo,645,58200-000,Guarabira,PB,Brasil
Tv. Bela Vista,Piloezinhos,10,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Getúlio Vargas,Rosário,329,58200-000,Guarabira,PB,Brasil
PB-073,Nao possui Bairro, 7500,58200-000,Guarabira,PB,Brasil
R. Dr. João Pequeno,Santa Terezinha,19,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Prof. Mariana Marques Leite,Alto Boa Vista,175,58200-000,Guarabira,PB,Brasil
R. Amaro Guedes,Nordeste,76,58200-000,Guarabira,PB,Brasil
R. Pedro Francelino,Nordeste,52,58200-000,Guarabira,PB,Brasil
PB-075,Conj. Osmar de Aquino,75,58200-000,Guarabira,PB,Brasil
R. João Bezerra da Silva,João Cassimiro,167,58200-000,Guarabira,PB,Brasil
PB-073,Distrito Industrial,24,58200-000,Guarabira,PB,Brasil
Fazenda Nossa Sra. De Aparecida,Juá,315,58200-000,Guarabira,PB,Brasil
R. José Joaquim de Melo,Cuitegi,373,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
Av. Dom Pedro II,Bairro Novo,1030,58200-000,Guarabira,PB,Brasil
R. Santa Isabel,Nações,249,58200-000,Guarabira,PB,Brasil
R. Luís Porpino da Silva,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Otacílio Líra Cabral,Mutirão,5240,58200-000,Guarabira,PB,Brasil
R. Clemente Pereira,Juá,45,58200-000,Guarabira,PB,Brasil
R. João Pímentel Filho,Juá,18,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
R. Casa Branca,Cuitegi,118,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Rua Ulisses de Menesses Freitas,Bairro Novo,1465,58200-000,Guarabira,PB,Brasil
R. José Tomás dos Santos,Cuitegi,86,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. João Pímentel Filho,Juá,562,58200-000,Guarabira,PB,Brasil
R. Casa Branca,Cuitegi,672,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Nilo Pequeno de Moura,Bairro Novo,1125,58200-000,Guarabira,PB,Brasil
R. Manoel Ramiro,Rosário,46,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
R. B de Pontes,Bairro Novo,36,58200-000,Guarabira,PB,Brasil
R. Manoel Ramiro,Rosário,114,58200-000,Guarabira,PB,Brasil
R. Casa Branca,Cuitegi,660,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
PB-075,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Rod. Pb Setenta e Cinco,Rosário,16,58200-000,Guarabira,PB,Brasil
Rod. Pb Setenta e Cinco,Rosário,16,58200-000,Guarabira,PB,Brasil
R. Manoel Jose dos Santos,Bairro Novo,1220,58200-000,Guarabira,PB,Brasil
R. Rui Carneiro,Cuitegi,194,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
Rua Epitácio Pessoa,Centro,14,58200-000,Guarabira,PB,Brasil
Rod. Pb Setenta e Cinco,Rosário,16,58200-000,Guarabira,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Lodônio R de Bulhões,Nao possui Bairro, 2091,58200-000,Guarabira,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,813,58200-000,Guarabira,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 394,58270-000,Araçagi,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,1155,58200-000,Guarabira,PB,Brasil
PB-075,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
PB-075,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,645,58200-000,Guarabira,PB,Brasil
PB-075,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. do Comércio,Cuitegi,33,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
R. Pref. Manoel Lordão,Nordeste II,634,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
R. Pedro Batista,Nao possui Bairro, 63,58270-000,Araçagi,PB,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
R. Antônio Camelo de Melo,Piloezinhos,1,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
PB-057,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
R. João Pímentel,Nao possui Bairro, 76,58208-000,Cuitegi,PB,Brasil
R. Sra. da Luz,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Rod. Pb 075,Cuitegi, 075,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. do Cruzeiro,Nao possui Bairro, 476,58270-000,Araçagi,PB,Brasil
R. Luzia Alexandre,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
PB-075,Nao possui Bairro, 489,58208-000,Cuitegi,PB,Brasil
R. Otacílio Líra Cabral,Clóvis Bezerra,1673,58200-000,Guarabira,PB,Brasil
R. Francisco Camilo Pereira,Bairro Novo,454,58200-000,Guarabira,PB,Brasil
R. José da Cunha Rêgo,Bairro Novo,770,58200-000,Guarabira,PB,Brasil
Rua Ulisses de Menesses Freitas,Bairro Novo,2002,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
Av. Padre Inácio de Almeida,Bairro Novo,1999,58200-000,Guarabira,PB,Brasil
R. Casa Branca,Cuitegi,134,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,811,58200-000,Guarabira,PB,Brasil
R. Severino Resende,Nao possui Bairro, 231,58208-000,Cuitegi,PB,Brasil
R. Padre Geraldo Pinto,Primavera,125,58200-000,Guarabira,PB,Brasil
PB-073,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
R. João Pímentel Filho,Centro,100,58200-000,Guarabira,PB,Brasil
R. Getúlio Vargas,Rosário,38,58200-000,Guarabira,PB,Brasil
R. São Luís,São José,156,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Casa Branca,Cuitegi,672,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. José Joaquim de Melo,Cuitegi,373,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
PB-057,Nao possui Bairro, 1611,58200-000,Guarabira,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,995,58200-000,Guarabira,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,645,58200-000,Guarabira,PB,Brasil
R. Lodônio R de Bulhões,Nao possui Bairro, 2208,58200-000,Guarabira,PB,Brasil
R. José Joaquim de Melo,Cuitegi,373,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
Av. Des. Pedro Bandeira,Rosário,484,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Rosil Guedes,Nordeste,273,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
PB-077,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
Av. Feliciano Batista de Amorim,Centro,190,58200-000,Guarabira,PB,Brasil
R. São Luís,São José,287,58200-000,Guarabira,PB,Brasil
R. Projetada,Cj Clovis Bezerra,7,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
R. Santa Paola Franssinete,Cuitegi,170,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
R. Antônio Camelo de Melo,Nao possui Bairro, 442,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Artur Pontes,São José,109,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
R. Filomena Cavalcanti,Rosário,201,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. B de Pontes,Bairro Novo,163,58200-000,Guarabira,PB,Brasil
R. Luís Porpino da Silva,Nao possui Bairro, 894,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Santa Isabel,Nordeste I,315,58200-000,Guarabira,PB,Brasil
R. Ver. João Tibúcio,Nao possui Bairro, 204,58208-000,Cuitegi,PB,Brasil
Av. Rui Barbosa,Bela Vista,405,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro,Sem Numero,58270-000,Araçagi,PB,Brasil
R. Ver. João Tibúcio,Nao possui Bairro, 204,58208-000,Cuitegi,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,714,58200-000,Guarabira,PB,Brasil
R. Gov. Ivan Bichara Sobreira,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Jose Florentina,Mutirão,35,58200-000,Guarabira,PB,Brasil
R. João Bezerra da Silva,Cj Joao Cassimiro,159,58200-000,Guarabira,PB,Brasil
R. Bela Alverga,São José,25,58200-000,Guarabira,PB,Brasil
R. Santa Isabel,Nordeste,522,58200-000,Guarabira,PB,Brasil
R. Pref. Manoel Lordão,Nordeste II,679,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,510,58200-000,Guarabira,PB,Brasil
R. Guarani,Nordeste II,22,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. João Bezerra da Silva,João Cassimiro,167,58200-000,Guarabira,PB,Brasil
R. João Bezerra da Silva,João Cassimiro,167,58200-000,Guarabira,PB,Brasil
R. São Luís,São José,207,58200-000,Guarabira,PB,Brasil
R. Eugênio Maia de Carvalho,Bairro Novo,868,58200-000,Guarabira,PB,Brasil
R. Pres. Castelo Branco,Conj. Chateaubriand,34,58200-000,Guarabira,PB,Brasil
PB-073,Distrito Industrial,24,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Rua Dr. Antônio Guedes,Nao possui Bairro, 30,58200-000,Guarabira,PB,Brasil
Tv. Luís P. Carvalho,Bairro Novo,30,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
Av. Dom Pedro II,Centro,735,58200-000,Guarabira,PB,Brasil
73 - R. Luís Galvão,R. Luís Galvão, 25,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Liberdade,Cuitegi,373,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
PB-057,Nao possui Bairro, 62,58200-000,Guarabira,PB,Brasil
PB-075,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Lodônio R de Bulhões,Nao possui Bairro, 155,58200-000,Guarabira,PB,Brasil
R. José Tomás dos Santos,Cuitegi,86,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Pref. Manoel Lordão,Nao possui Bairro, 693,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
Av. Olívio Maroja,Nao possui Bairro, 1015,58270-000,Araçagi,PB,Brasil
R. Projetada,Cj Clovis Bezerra,1,58200-000,Guarabira,PB,Brasil
R. José Tomás dos Santos,Cuitegi,320,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
Av. Olívio Maroja,Nao possui Bairro, 1015,58270-000,Araçagi,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,645,58200-000,Guarabira,PB,Brasil
Rua Jardim,Nao possui Bairro, 18,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58200-000,Guarabira,PB,Brasil
R. Profa. Maria Ceci C. Oliveira,Centro,11,58200-000,Guarabira,PB,Brasil
R. Pirpiri,Pirpiri,845,58200-000,Guarabira,PB,Brasil
R. Nilo Pequeno de Moura,Bairro Novo,1380,58200-000,Guarabira,PB,Brasil
R. José Bonifácio,Juá,686,58200-000,Guarabira,PB,Brasil
R. B de Pontes,Bairro Novo,173,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
R. José da Cunha Rêgo,Bairro Novo,514,58200-000,Guarabira,PB,Brasil
R. Lodônio R de Bulhões,Primavera,1040,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Bela Vista,198,58200-000,Guarabira,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,645,58200-000,Guarabira,PB,Brasil
R. Luís Galvão,Bairro Novo,84,58200-000,Guarabira,PB,Brasil
R. Manoel Jose dos Santos,Bairro Novo,118,58200-000,Guarabira,PB,Brasil
R. 3 de Maio,Centro,38,58200-000,Guarabira,PB,Brasil
PB-073,Nao possui Bairro, 112,58200-000,Guarabira,PB,Brasil
PB-057,Nao possui Bairro, 66,58200-000,Guarabira,PB,Brasil
R. Manoel Ribeiro Franco,Nao possui Bairro, 116,58270-000,Araçagi,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
PB-073,Nao possui Bairro, 105,58200-000,Guarabira,PB,Brasil
R. Lodônio R de Bulhões,Primavera,874,58200-000,Guarabira,PB,Brasil
R. Antônio Camelo de Melo,Nao possui Bairro, 56,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
R. B de Pontes,Bairro Novo,173,58200-000,Guarabira,PB,Brasil
Tv. Joca Carteiro,Santa Terezinha,25,58200-000,Guarabira,PB,Brasil
Av. Rui Barbosa,Centro,569,58200-000,Guarabira,PB,Brasil
R. Otacílio Líra Cabral,Nao possui Bairro, 634,58200-000,Guarabira,PB,Brasil
R. Padre Ricardo,Cordeiro,22,58200-000,Guarabira,PB,Brasil
Tv. Luís P. Carvalho,Bairro Novo,40,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
Av. Olívio Maroja,Conj. Sao Sebastiao,1573,58270-000,Araçagi,PB,Brasil
R. Otacílio Líra Cabral,Areia Branco,100,58200-000,Guarabira,PB,Brasil
Av. Ariosto Uchôa Trocoli,Centro,20,58200-000,Guarabira,PB,Brasil
R. Nossa Sra. das Graças,Nao possui Bairro, 42,58270-000,Araçagi,PB,Brasil
5J58+M5 Araçagi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Araçagi,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,730,58200-000,Guarabira,PB,Brasil
3FV7+6M Cuitegi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Cuitegi,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,730,58200-000,Guarabira,PB,Brasil
5F4F+4R Pilõezinhos - PB,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Henrique Pacífico,Primavera,204,58200-000,Guarabira,PB,Brasil
PB-073,Guarabira,396,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
Av. Sabiniano Maia,Bairro Novo,633,58200-000,Guarabira,PB,Brasil
R. Osório de Aquino,Centro,36,58200-000,Guarabira,PB,Brasil
Tv. José Oliveira Madruga,Assis Chateaubriand,30,58200-000,Guarabira,PB,Brasil
PB-075,Nao possui Bairro, 332,58208-000,Cuitegi,PB,Brasil
5FFX+F3 Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
4FHR+CM Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
4GXR+WP Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
4GM2+W2 Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
4GQ2+Q6 Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
R. Ulisses De Menezes Freitas,Bairro Novo,1411,58200-000,Guarabira,PB,Brasil
3FR6+WJ Cuitegi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP,WJ Cuitegi,PB,Brasil
R. Pref. Manoel Lordão,Esplanada,236,58200-000,Guarabira,PB,Brasil
R. Elói Pereira,Rosário,199,58200-000,Guarabira,PB,Brasil
R. Alexandre dos Santos Oliveira,Cuitegi,12,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
4F9R+W7 Cuitegi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Cuitegi,PB,Brasil
R. São Manoel,Bela Vista,183,58200-000,Guarabira,PB,Brasil
R. Cel. Mauricio Costa,Areia Branca,330,58200-000,Guarabira,PB,Brasil
4GWR+6H Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Cel. Joao Pimentel,Centro,296,58200-000,Guarabira,PB,Brasil
R. Cel. João Pímentel Filho,Centro,101,58200-000,Guarabira,PB,Brasil
R. São Manoel,Cordeiro,542,58200-000,Guarabira,PB,Brasil
5H45+58 Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Eutália B.Carvalho,Nordeste,51,58200-000,Guarabira,PB,Brasil
R. Celina Pinto,Nordeste,461,58200-000,Guarabira,PB,Brasil
R. Projetada,Pirpiri,123,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
R. Ulisses Stanislau de Lucena,Bairro Novo,720,58200-000,Guarabira,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
4HF8+M7 Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
4FQX+VP Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
R. Manoel Ferreira de Barros,Bairro Novo,629,58200-000,Guarabira,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,1155,58200-000,Guarabira,PB,Brasil
Rod. Pb Setenta e Cinco,Rosário,16,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,245,58200-000,Guarabira,PB,Brasil
R. Ulisses De Menezes Freitas,Bairro Novo,1309,58200-000,Guarabira,PB,Brasil
Rod. Pb Setenta e Cinco,Rosário,16,58200-000,Guarabira,PB,Brasil
4GR3+F3 Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Isabel dos Anjos,Rosário,108,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,730,58200-000,Guarabira,PB,Brasil
R. Antônio de Freitas Albuquerque,Santa Terezinha,84,58200-000,Guarabira,PB,Brasil
4PW4+V4 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
R. José da Cunha Rego,Bairro Novo,764,58200-000,Guarabira,PB,Brasil
3FV7+8P,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Ulisses De Menezes Freitas,Bairro Novo,1411,58200-000,Guarabira,PB,Brasil
R. Getúlio Vargas,Rosário,46,58200-000,Guarabira,PB,Brasil
4JJ2+4C Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
Av. Dom Pedro II,Bairro Novo,720,58200-000,Guarabira,PB,Brasil
3FV7+8P,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
3FV7+8P,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
R. Otacílio Líra Cabral,Guarabira,450,65900-000,Nao possui Cidade,Nao possui Estado,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
4FHX+WX Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Costa Beiriz,Centro,110,58200-000,Guarabira,PB,Brasil
R. Costa Beiriz,Centro,14,58200-000,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,510,58200-000,Guarabira,PB,Brasil
3FV8+HF Cuitegi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP,HF Cuitegi,PB,Brasil
R. Otacílio Líra Cabral,Guarabira,450,65900-000,Nao possui Cidade,Nao possui Estado,Brasil
Av. Sabiniano Maia,Bairro Novo,825,58200-000,Guarabira,PB,Brasil
R. Henrique Pacífico,Bela Vista,250,58200-000,Guarabira,PB,Brasil
3FV7+8P,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. José Joaquim de Melo,Nao possui Bairro, 29,58208-000,Cuitegi,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58275-000,Itapororoca,PB,Brasil
4FCP+CX Cuitegi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP,CX Cuitegi,PB,Brasil
PB-073,Guarabira,778,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Ulisses De Menezes Freitas,Bairro Novo,1411,58200-000,Guarabira,PB,Brasil
4F48+HR Cuitegi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP,HR Cuitegi,PB,Brasil
4H8H+29 Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
4G42+8W Cuitegi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Cuitegi,PB,Brasil
3FV7+8P,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
4JW2+QH Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
Av. Des. Pedro Bandeira,Rosário,192,58200-000,Guarabira,PB,Brasil
R. Manoel Ramiro,Rosário,198,58200-000,Guarabira,PB,Brasil
5G2C+G5 Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
4PW4+V4 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
3FV7+8P,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
Rodovia pb centro Centro,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
3FV7+8P,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
5G55+JH Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. A Ac R Emilia De Farias,Cuitegi,16,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. José Joaquim de Melo,Cuitegi,125,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
4PW3+QW Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP,QW Itapororoca,PB,Brasil
